modelo,threshold,accuracy,precision_1,recall_1,f1_1,roc_auc,average_precision,experimento
AdvancedXGBoost@f1,0.4,0.7987732059494084,0.21099554234769688,0.4029511918274688,0.27696508679539694,0.6970089681729673,0.19851169546798286,benchmark_ensemble
AdvancedXGBoost@cost,0.3,0.6385843013787862,0.1596218020022247,0.6515323496027242,0.25642171096716554,0.6970089681729673,0.19851169546798286,benchmark_ensemble
AdvancedXGBoost@f2,0.2,0.4156443382911736,0.12509369534438244,0.8524404086265607,0.2181712542668313,0.6970089681729673,0.19851169546798286,benchmark_ensemble
AdvancedXGBoost@0.50,0.5,0.8792204972315709,0.2701092353525323,0.1543700340522134,0.19646081617912603,0.6970089681729673,0.19851169546798286,benchmark_ensemble
AdvancedLightGBM@f1,0.4,0.8016502008468136,0.2110568112400733,0.39216799091940974,0.2744241461477363,0.6938769719011328,0.19638314893117592,benchmark_ensemble
AdvancedLightGBM@cost,0.3,0.6488437737487787,0.1583684134126869,0.6191827468785471,0.2522251762801988,0.6938769719011328,0.19638314893117592,benchmark_ensemble
AdvancedLightGBM@f2,0.2,0.43768320486374984,0.12709291229287759,0.8314415437003405,0.2204831063285424,0.6938769719011328,0.19638314893117592,benchmark_ensemble
AdvancedLightGBM@0.50,0.5,0.8771034632504614,0.2658582089552239,0.16174801362088537,0.20112914608327453,0.6938769719011328,0.19638314893117592,benchmark_ensemble
AdvancedHistGradientBoosting@f1,0.4,0.7251655629139073,0.176816134717055,0.5124858115777525,0.2629203668656282,0.6887356020728381,0.18873215968746213,benchmark_ensemble
AdvancedHistGradientBoosting@0.50,0.5,0.8415481489523396,0.23055426176059618,0.28093076049943244,0.25326170376055257,0.6887356020728381,0.18873215968746213,benchmark_ensemble
AdvancedHistGradientBoosting@cost,0.35,0.6421126913473021,0.15615658362989324,0.6225879682179342,0.24968703766928416,0.6887356020728381,0.18873215968746213,benchmark_ensemble
AdvancedHistGradientBoosting@f2,0.25,0.40956465096080774,0.1229420038057417,0.8433598183881952,0.21460033215394614,0.6887356020728381,0.18873215968746213,benchmark_ensemble
AdvancedRandomForest@f1,0.4,0.7775485832157203,0.19359916054564533,0.4188422247446084,0.26480086114101187,0.6855653498629872,0.1825065340769301,benchmark_ensemble
AdvancedRandomForest@cost,0.3,0.6028118553902942,0.14783821478382148,0.6617480136208853,0.24168307596642138,0.6855653498629872,0.1825065340769301,benchmark_ensemble
