feature,importance,method,rank
TEMPOCPF,0.46679068,shap_mean_abs,1
INDICEEMPREGO,0.11800589,shap_mean_abs,2
QTDEMAIL,0.08852304,shap_mean_abs,3
SEGMENTACAOTELECOM,0.08659689,shap_mean_abs,4
RAZAO_RENDA_ESTIMADA_IDH,0.079316325,shap_mean_abs,5
PERCENTPOPZONAURBANA,0.07003891,shap_mean_abs,6
QTDDECLARACAOISENTA,0.06880182,shap_mean_abs,7
QTDCAMINHAOMUNICIPIO,0.06323453,shap_mean_abs,8
SEGMENTACAO,0.056368243,shap_mean_abs,9
SEGMENTACAOECOM,0.055493116,shap_mean_abs,10
ESTIMATIVARENDA,0.04423205,shap_mean_abs,11
TOTAL_VEICULOS_MUNICIPIO,0.03906029,shap_mean_abs,12
QTDCAMINHONETEMUNICIPIO,0.037861224,shap_mean_abs,13
QTDCELULAR,0.036341593,shap_mean_abs,14
PERCENTMEDIOCEP,0.034120433,shap_mean_abs,15
DISTZONARISCO,0.033018075,shap_mean_abs,16
QTDMOTOMUNICIPIO,0.0326696,shap_mean_abs,17
PORTEEMPREGADOR,0.032122813,shap_mean_abs,18
RAZAO_RENDA_CEP_PIB,0.032118995,shap_mean_abs,19
QTDENDERECO,0.031501006,shap_mean_abs,20
MEDIARENDACEP,0.030969666,shap_mean_abs,21
RAZAO_RENDA_ESTIMADA_VEICULOS,0.029956827,shap_mean_abs,22
MENORIDADECASA,0.028330436,shap_mean_abs,23
QTDDECLARACAOREST10,0.023905141,shap_mean_abs,24
IDADEMEDIACEP,0.022666596,shap_mean_abs,25
RAZAO_RENDA_ESTIMADA_CEP,0.022219118,shap_mean_abs,26
RAZAO_RENDA_CASA_CEP,0.022007953,shap_mean_abs,27
PIBMUNICIPIO,0.021876281,shap_mean_abs,28
QTDPESSOASCASA,0.02179887,shap_mean_abs,29
RAZAO_DIST_RISCO_CENTRO,0.020055221,shap_mean_abs,30
QTDDECLARACAO10,0.019987158,shap_mean_abs,31
MAIORIDADECASA,0.019361835,shap_mean_abs,32
QTDFONEFIXO,0.018086039,shap_mean_abs,33
DISTCENTROCIDADE,0.016777694,shap_mean_abs,34
MEDIARENDACASA,0.016626058,shap_mean_abs,35
PERCENTFEMCEP,0.015966887,shap_mean_abs,36
QTDAUTOMOVELMUNICIPIO,0.015886137,shap_mean_abs,37
SEGMENTACAOFIN,0.015718263,shap_mean_abs,38
RAZAO_RENDA_ESTIMADA_CASA,0.015219327,shap_mean_abs,39
ANOSULTIMADECLARACAO,0.015139316,shap_mean_abs,40
MEDIAIDADECASA,0.013645225,shap_mean_abs,41
PERCENTFUNDAMENTALCEP,0.013455804,shap_mean_abs,42
SOMARENDACASA,0.013341712,shap_mean_abs,43
MENORRENDACASA,0.012986871,shap_mean_abs,44
QTD_CAMPOS_AUSENTES,0.011742348,shap_mean_abs,45
PERCENTSUPERIORCEP,0.01157025,shap_mean_abs,46
PERCENTBOLSAFAMILIACEP,0.011385435,shap_mean_abs,47
PERCENTMASCCEP,0.011021381,shap_mean_abs,48
QTDCELULAR_ZERO,0.010695306,shap_mean_abs,49
LOG_PIBMUNICIPIO,0.008906154,shap_mean_abs,50
MAIORRENDACASA,0.008765006,shap_mean_abs,51
LOG_DISTZONARISCO,0.008050674,shap_mean_abs,52
QTDUTILITARIOMUNICIPIO,0.0077680093,shap_mean_abs,53
PERCENTPRIMARIOCEP,0.0077112196,shap_mean_abs,54
QTDEMAIL_ZERO,0.007402066,shap_mean_abs,55
QTDDECLARACAOPAGAR10,0.0066315513,shap_mean_abs,56
PERCENTFUNCIONARIOPUBLICOCEP,0.0066102035,shap_mean_abs,57
LOG_ESTIMATIVARENDA,0.006350356,shap_mean_abs,58
LOG_MEDIARENDACASA,0.0058633504,shap_mean_abs,59
IDHMUNICIPIO,0.0056156255,shap_mean_abs,60
SOCIOEMPRESA,0.005502564,shap_mean_abs,61
LOG_MEDIARENDACEP,0.005368591,shap_mean_abs,62
LOG_DISTCENTROCIDADE,0.0052990923,shap_mean_abs,63
PCT_CAMPOS_AUSENTES,0.0048076003,shap_mean_abs,64
LOG_SOMARENDACASA,0.0036898605,shap_mean_abs,65
FUNCIONARIOPUBLICOCASA,0.0036233785,shap_mean_abs,66
BOLSAFAMILIACASA,0.0032779353,shap_mean_abs,67
SOCIOEMPRESA_ZERO,0.0027354853,shap_mean_abs,68
SEGMENTACAOCOBRANCA,0.002588488,shap_mean_abs,69
QTDDECLARACAOREST10_ZERO,0.0025263692,shap_mean_abs,70
LOG_MAIORRENDACASA,0.0024816466,shap_mean_abs,71
TELFIXOPROCON,0.0024685415,shap_mean_abs,72
QTDFONEFIXO_ZERO,0.002393956,shap_mean_abs,73
QTDDECLARACAOPAGAR10_ZERO,0.0023938206,shap_mean_abs,74
PERCENTANALFABETOCEP,0.0023330322,shap_mean_abs,75
QTDENDERECO_ZERO,0.0022897108,shap_mean_abs,76
FUNCIONARIOPUBLICO,0.0018639511,shap_mean_abs,77
PERCENTMESTRADOCEP,0.0015522706,shap_mean_abs,78
COBRANCAALTACASA,0.0009950636,shap_mean_abs,79
SEGMENTACAOFINBAIXACASA,0.0008518206,shap_mean_abs,80
COBRANCABAIXOCASA,0.00077490596,shap_mean_abs,81
CELULARPROCON,0.00057169166,shap_mean_abs,82
INDICMENORDEIDADE,0.00046130095,shap_mean_abs,83
QTDDECLARACAO10_ZERO,0.00042471962,shap_mean_abs,84
PERCENTDOUTORADOCEP,0.00042235412,shap_mean_abs,85
BOLSAFAMILIA,0.00041401177,shap_mean_abs,86
QTDDECLARACAOISENTA_ZERO,0.00033334052,shap_mean_abs,87
BOLSAFAMILIA_ZERO,0.00020156517,shap_mean_abs,88
FUNCIONARIOPUBLICO_ZERO,0.00014508271,shap_mean_abs,89
RENDA_TOTAL_CASA_POR_PESSOA,0.00014098457,shap_mean_abs,90
COBRANCAMEDIOCASA,8.0755824e-05,shap_mean_abs,91
MUNICIPIO_AUSENTE,0.0,shap_mean_abs,92
RESTITUICAOAGENCIAALTARENDA,0.0,shap_mean_abs,93
RESTITUICAOAGENCIAALTARENDA_ZERO,0.0,shap_mean_abs,94
MUNICIPIO_QTD_AUSENTES,0.0,shap_mean_abs,95
GRUPO_CASA_AUSENTE,0.0,shap_mean_abs,96
DECLARACAO_AUSENTE,0.0,shap_mean_abs,97
SEGMENTACAOALTACASA,0.0,shap_mean_abs,98
CASA_QTD_AUSENTES,0.0,shap_mean_abs,99
CASA_TOTALMENTE_AUSENTE,0.0,shap_mean_abs,100
CASA_PARCIALMENTE_AUSENTE,0.0,shap_mean_abs,101
CEP_QTD_AUSENTES,0.0,shap_mean_abs,102
CEP_AUSENTE,0.0,shap_mean_abs,103
SEGMENTACAOFINMEDIACASA,0.0,shap_mean_abs,104
