coluna,nan_explicito_pct,sentinelas_pct,sentinelas_qtd,dtype
ANOSULTIMADECLARACAOPAGAR,0.0,90.66,83502,int64
ANOSULTIMARESTITUICAO,0.0,83.52,76930,int64
ANOSULTIMADECLARACAO,0.0,65.3,60146,int64
MAIORIDADECASA,0.0,62.09,57189,int64
MENORIDADECASA,0.0,62.09,57189,int64
MEDIAIDADECASA,0.0,62.09,57189,int64
QTDPESSOASCASA,0.0,62.08,57179,int64
MENORRENDACASA,0.0,62.08,57179,int64
MAIORRENDACASA,0.0,62.08,57179,int64
SOMARENDACASA,0.0,62.08,57179,int64
MEDIARENDACASA,0.0,62.08,57179,int64
INDICMENORDEIDADE,0.0,62.08,57179,int64
COBRANCABAIXOCASA,0.0,62.08,57179,int64
COBRANCAMEDIOCASA,0.0,62.08,57179,int64
COBRANCAALTACASA,0.0,62.08,57179,int64
SEGMENTACAOFINBAIXACASA,0.0,62.08,57179,int64
SEGMENTACAOFINMEDIACASA,0.0,62.08,57179,int64
SEGMENTACAOALTACASA,0.0,62.08,57179,int64
BOLSAFAMILIACASA,0.0,62.08,57179,int64
FUNCIONARIOPUBLICOCASA,0.0,62.08,57179,int64
PERCENTANALFABETOCEP,0.0,28.14,25922,int64
PERCENTPRIMARIOCEP,0.0,28.14,25922,int64
PERCENTFUNDAMENTALCEP,0.0,28.14,25922,int64
PERCENTMEDIOCEP,0.0,28.14,25922,int64
PERCENTSUPERIORCEP,0.0,28.14,25922,int64
PERCENTMESTRADOCEP,0.0,28.14,25922,int64
PERCENTDOUTORADOCEP,0.0,28.14,25922,int64
IDADEMEDIACEP,0.0,27.8,25610,int64
PERCENTMASCCEP,0.0,27.8,25610,int64
PERCENTFEMCEP,0.0,27.8,25610,int64
PERCENTBOLSAFAMILIACEP,0.0,27.8,25610,int64
PERCENTFUNCIONARIOPUBLICOCEP,0.0,27.8,25610,int64
MEDIARENDACEP,0.0,27.8,25610,int64
QTDUTILITARIOMUNICIPIO,0.0,22.5,20728,int64
QTDAUTOMOVELMUNICIPIO,0.0,22.5,20728,int64
QTDCAMINHAOMUNICIPIO,0.0,22.5,20728,int64
QTDCAMINHONETEMUNICIPIO,0.0,22.5,20728,int64
QTDMOTOMUNICIPIO,0.0,22.5,20728,int64
PERCENTPOPZONAURBANA,0.0,22.48,20707,int64
IDHMUNICIPIO,0.0,22.48,20707,int64
PIBMUNICIPIO,0.0,22.48,20702,int64
DISTCENTROCIDADE,0.0,22.44,20667,int64
DISTZONARISCO,0.0,22.44,20667,int64
TEMPOCPF,0.0,3.18,2932,int64
QTDENDERECO,0.0,1.32,1219,int64
QTDEMAIL,0.0,1.32,1219,int64
QTDCELULAR,0.0,1.32,1219,int64
CELULARPROCON,0.0,1.32,1219,int64
QTDFONEFIXO,0.0,1.32,1219,int64
TELFIXOPROCON,0.0,1.32,1219,int64
INDICEEMPREGO,0.0,1.32,1219,int64
PORTEEMPREGADOR,0.0,1.32,1219,int64
SOCIOEMPRESA,0.0,1.32,1219,int64
FUNCIONARIOPUBLICO,0.0,1.32,1219,int64
SEGMENTACAO,0.0,1.32,1219,int64
SEGMENTACAOCOBRANCA,0.0,1.32,1219,int64
SEGMENTACAOECOM,0.0,1.32,1219,int64
SEGMENTACAOFIN,0.0,1.32,1219,int64
SEGMENTACAOTELECOM,0.0,1.32,1219,int64
ESTIMATIVARENDA,0.0,1.32,1219,int64
QTDDECLARACAOISENTA,0.0,1.32,1219,int64
QTDDECLARACAO10,0.0,1.32,1219,int64
QTDDECLARACAOREST10,0.0,1.32,1219,int64
QTDDECLARACAOPAGAR10,0.0,1.32,1219,int64
RESTITUICAOAGENCIAALTARENDA,0.0,1.32,1219,int64
BOLSAFAMILIA,0.0,1.32,1219,int64
HS_CPF,0.0,0.0,0,int64
ORIENTACAO_SEXUAL,0.0,0.0,0,object
RELIGIAO,0.0,0.0,0,object
TARGET,0.0,0.0,0,float64
